Name,Phone,Address,Website,Category,Keyword,Location,TimeZone,IdStatus
Liz Buys Houses,8332749691,Serving your area.,,"Real Estate Agents, Real Estate Consultants",Real Estate,CA,PST,Lead
Sell My House Fast,8332750061,Serving your area.,,"Real Estate Agents, Real Estate Consultants",Real Estate,CA,PST,Lead
Liz Buys Houses,8332749691,Serving theCA Area,,"Real Estate Agents, Real Estate Consultants",Real Estate,CA,PST,Lead
Sell My House Fast,8332750061,Serving theCA Area,,"Real Estate Agents, Real Estate Consultants",Real Estate,CA,PST,Lead
House Buyer Network,8332747871,Serving theCA Area,,"Real Estate Agents, Real Estate Consultants",Real Estate,CA,PST,Lead
Vander Veen Realty,2099244778,"614 S Wilma AveRipon, CA 95366",https://www.homes.com/real-estate-agents/gordon-vander-veen/id-45098242,"Real Estate Agents, Commercial Real Estate",Real Estate,CA,PST,Lead
Shaffer & Associates - Wayne Shaffer Real Estate,8314408829,"825 Cedar StSanta Cruz, CA 95060",http://wshaffer.com/,"Real Estate Agents, Real Estate Buyer Brokers",Real Estate,CA,PST,Lead
Shepherd Realty,8053358835,"4517 Market St Ste 1BVentura, CA 93003",http://www.mattshepherdrealty.com/,"Real Estate Agents, Commercial Real Estate",Real Estate,CA,PST,Lead
Foundation Properties Inc,6613680332,"4450 California Ave Ste 395kBakersfield, CA 93309",http://foundationpropertiesinc.com/,"Real Estate Agents, Real Estate Management",Real Estate,CA,PST,Lead
Gibson Realty,7148272150,"6056 Lincoln Ave, Ste BCypress, CA 90630",https://www.gibsonrealtyinc.net/,"Real Estate Agents, Real Estate Consultants",Real Estate,CA,PST,Lead
Sandy Stewart Realtor,7075846491,"355 Main StVacaville, CA 95688",https://sandyst.com/,"Real Estate Agents, Real Estate Consultants",Real Estate,CA,PST,Lead
Jim Carmichael Keller Williams Real Estate,6193359040,Serving theCA Area,http://www.jimcarmichaelhomes.com/,"Real Estate Agents, Real Estate Buyer Brokers",Real Estate,CA,PST,Lead
Independent Realty,3412405636,"15109 HesperianSan Leandro, CA 94578",http://www.ireb.net/,"Real Estate Agents, Notaries Public",Real Estate,CA,PST,Lead
Turner L A & Associates,6615220465,"Lancaster, CA 93535",http://www.none.com/,"Real Estate Agents, Real Estate Management",Real Estate,CA,PST,Lead
Professional Real Estate Services,9519164681,"28100 Lakeview AveNuevo, CA 92567",http://www.livingriversidecounty.com/,"Real Estate Agents, Real Estate Consultants",Real Estate,CA,PST,Lead
Schwarzbach Associates Inc,8313382171,"13335 Highway 9Boulder Creek, CA 95006",https://www.schwarzbachassociatesinc.com/default.aspx,"Real Estate Agents, Real Estate Management",Real Estate,CA,PST,Lead
Mill Creek Management & Real Estate Sales  Inc,5597333385,"300 W School AveVisalia, CA 93291",https://www.millcreekmgt.com/,"Real Estate Agents, Real Estate Consultants",Real Estate,CA,PST,Lead
"Gallagher & Miersch, INC",9255153450,Serving theCA Area,https://www.gmre.net/,"Real Estate Agents, Real Estate Buyer Brokers",Real Estate,CA,PST,Lead
Choice Properties,6198951626,"3113 Dickens St, Ste CSan Diego, CA 92106",https://www.pointloma-realestate.com/,"Real Estate Agents, Real Estate Management",Real Estate,CA,PST,Lead
